,title,salary,location,advertiser,industry,description,cleaned_salary,number_salary,final_salary,sal_cat,lead_count
0,Project Coordinator - Data entry      ,b'Up to $42ph plus Super',Sydney,Preacta Recruitment  ,Administration & Office Support,"b'<div class=""videoembed"" id=""FlashContent""></div>\n<p>\xc2\xa0We are currently looking for an experienced Project Coordinator - Data entry professional for an initial 2 months contract.<br/>\n<br/>\n<strong>Key responsibilities</strong><br/>\n<br/>\n</p>\n<p>\xe2\x80\xa2 Produce customer collateral including publications, presentations, consultation and information material across stakeholder groups<br/>\r\n\xe2\x80\xa2 Maintain the engagement database and assist with updating of the website and intranet.\xc2\xa0<br/>\r\n\xe2\x80\xa2 Organise and attend events such as community information sessions around the state.</p>\n<p>\xc2\xa0</p>\n<p><strong>Requirements:</strong></p>\n<ul>\n<li><strong>Bachelor of Communications or Bachelor of Business Communications</strong>\n</li><li>Previous experience </li><li>Outstanding communication skills - written and verbal </li><li>Availability to start immediately </li></ul>\n<p><strong>How to Apply\xc2\xa0</strong><br/>\r\nThe role is available NOW. Please click the APPLY button to submit your application. Interviews will start immediately.</p>\n'",42,42,82992,high,793
1,Data Engineer / Data Scientist    ,b'Start up culture',Sydney,Motion Recruitment  ,Information & Communication Technology,"b""\n<p>Australian start up success story requires a data specialist to join their Sydney Team. You will be working within a team of Data expects providing the next generation of algorithms to address today's and tomorrow's challenges.</p>\n<p><strong>Responsibilities</strong></p>\n<ul>\n<li>Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with our core products\r\n</li><li>Partner with Product and Engineering teams to solve problems and identify trends and opportunities\r\n</li><li>Inform, influence, support, and execute our product decisions </li><li>Build/maintain reports, dashboards, and metrics to monitor performance\xc2\xa0 </li><li>Mine massive amounts of data and extract useful product insights</li></ul>\n<p><strong>Experience</strong></p>\n<p>\xc2\xa0</p>\n<ul>\n<li>Experience in applying data mining and machine learning techniques to big data.\r\n</li><li>Strong programming skills in R, Python, and/or C++. </li><li>Knowledge of data analysis tools. </li><li>Good communication, problem solving and research skills. </li><li>Degree in a quantitative field (i.e. mathematics, statistics, engineering or computer science).\r\n</li><li>Familiarity with big data tools such as Hadoop, Hive and MapReduce. </li><li>Experience with NOSQL databases such as Cassandra and MongoDB</li></ul>\n<p>This position can be contract or permanent\xc2\xa0</p>\n""",0,0,0,0.0,793
2,Data Analyst      ,0,Sydney,Westpac Group  ,Banking & Financial Services,"b'<span>The Customer Data Analyst will support the Customer Data Analytics Manager to implement and maintain the proactive data-driven capability across all brands and product portfolios [Consumer Finance (Credit Cards and Personal Loans), Everyday Banking\r\n (Consumer Deposits) and Home Ownership (Mortgages)] within the Consumer Bank (CB).</span><br/>\n<span>\xc2\xa0</span><br/>\n<span>This is a 12month contract position.</span><br/>\n<span>The role will require working closely with key stakeholders from the Product teams from as well as Data Analysts and Business Performance Analytics.</span><br/>\n<span>\xc2\xa0</span><br/>\n<span><b>Scope:</b></span><br/>\n<span>\xc2\xa0</span><br/>\n<span>Westpac is building new capability to better understand customer behaviour and how we can improve the way our products are designed, sold, used and serviced. This is core to building trust with customers.\r\n</span><br/>\n<span>When customers come to Westpac, they expect to be on a product that is suited to them and performs in a fair way \xe2\x80\x93 there is value received for the cost paid. Over time and in different circumstances this can change. We want to anticipate and know these\r\n changes so that we can help customers make better and more informed decisions.\xc2\xa0 </span>\n<br/>\n<span>Help may come in a variety of ways \xe2\x80\x93 informing customers on how to best use a product, maximise their benefits or helping them switch to better options.\r\n</span><br/>\n<span>\xc2\xa0</span><br/>\n<span>The Customer Data Analyst will support the Customer Data Analytics Manager to implement a new data-driven monitoring program across Consumer Bank products. The Customer Data Analyst will be responsible for:</span><br/>\n<ul>\n<li>Designing and executing the code required to proactively mine through customer data in search of insights.<br/>\n</li><li><br/>\n<span>Revising and validating analysis based on feedback and new learning obtained through testing hypotheses.</span><br/>\n<br/>\n</li><li><br/>\n<span>Capturing the program/code used through each review such that it can be operationalised and re-run.\r\n</span><br/>\n<br/>\n</li><li><br/>\n<span>Analysing the findings and packaging them into insights that can be presented to CB product teams to be enable decision making.\xc2\xa0</span><br/>\n</li></ul>\n<span><b>Outcomes</b></span><br/>\n<span>\xc2\xa0</span><br/>\n<span>The Product Quality team is tasked with ensuring the following outcomes for Consumer Bank Products:</span><br/>\n<ul>\n<li><br/>\n<span><b>Strong risk and compliance culture and tone at the top</b>, where staff clearly understand first line roles and responsibilities, monitor risk and control performance, and communicate the importance of control practices.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Robust product management process and controls design and operation</b>, to prevent and detect product quality issues.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Our staff understands and commit to delivering products that are fair and suitable for customers</b>, and understand the underlying policies, frameworks, process and controls and deliver to these.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Three lines of defence work in an integrated, simple and seamless way </b>\r\nand make it simple for product teams to manage and deliver their risk, control and compliance outcomes.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>When we make a mistake, we put the customer back in the right position</b></span><br/>\n<br/>\n</li><li><br/>\n<span>Design and execute the codes required to proactively mine through data in order to test hypotheses set during each review. Revise analysis based on feedback and new learning obtained through testing hypotheses.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Record Keeping:</b> Ensuring that all work completed with respect to each proactive data review is comprehensively documented to include all data sources used, the methodology applied for analysis and any assumptions and constraints. All codes developed\r\n as part of the review should also be stored such that they can be systematically referenced and re-used.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Documentation:</b> of the scope of all reviews as agreed with key stakeholders. The scope document should clearly outline the objectives and outcomes from each data driven review.</span><br/>\n<br/>\n</li><li><br/>\n<span><b>Reporting: </b>On a regular and ad-hoc basis, providing key stakeholders with updates regarding the progress of each review.</span><br/>\n</li></ul>\n<span><b>Experience</b></span><br/>\n<ul>\n<li>Extensive knowledge of data extraction and analysis from large customer bases using SAS applications, SQL and advanced Excel\r\n<br/>\n</li><li><br/>\n<span>Experience Qlikview, Tableau or other similar Data Visualisation tools is desireable.</span><br/>\n<br/>\n</li><li><br/>\n<span>Use of data warehouses and core databases, with knowledge of Westpac and St George data and systems an advantage but not essential</span><br/>\n<br/>\n</li><li><br/>\n<span>Ability to turn quantitative and qualitative analysis into business insights, opportunities and solutions</span><br/>\n<br/>\n</li><li><br/>\n<span>Product knowledge of Mortgages, Deposits and/or Credit Cards and loans is desirable\r\n</span><br/>\n<br/>\n</li><li><br/>\n<span>Sound communication, influencing and negotiation skills</span><br/>\n<br/>\n</li><li><br/>\n<span>Sound stakeholder management experience</span><br/>\n<br/>\n</li><li><br/>\n<span>Effective communication of work using PowerPoint and Word</span><br/>\n<br/>\n</li><li><br/>\n<span>Proven ability in supporting the development of strategic and operational plans</span><br/>\n<br/>\n</li><li><br/>\n<span>Proven skills in organising, prioritising, problem\xc2\xa0 solving and decision making</span><br/>\n<br/>\n</li><li><br/>\n<span>Previous experience with P&amp;L and balance sheet analysis and interpretation</span><br/>\n<br/>\n</li><li><br/>\n<span>Knowledge of accounting principles</span><br/>\n<br/>\n</li><li><br/>\n<span>Knowledge of finance principles</span><br/>\n<br/>\n</li><li><br/>\n<span>Financial industry experience </span><br/>\n<br/>\n</li><li><br/>\n<span>Previous experience with remediation programs is desirable</span><br/>\n</li></ul>\n<p></p>\n'",0,0,0,0.0,793
3,Media Data Analyst      ,0,Sydney,Big Wave Digital  ,Science & Technology,"b'\n<div>\n<p>Are you looking to join massive digital media &amp; advertising brand? Do you have an absolute passion\xe2\x80\xa6 no, obsession for data marketing, digital analytics and insights? Big Wave digital is thrilled to have such a successful partnership with this advertising\r\n technology platform and digital media firm; and keen to recruit their newest hire;\r\n<strong>Media Data Analyst</strong> to join their <strong>data marketing </strong>\r\nteam.<br/>\n<br/>\n</p>\n<p>The role is supporting the Head of Media, and will be responsible for data analysis, developing and delivering commercial insights and digital reporting.\r\n<br/>\n<br/>\r\nThe ideal candidate will have Post Grad qualifications in Stats, Economics, or relevant and come from an analytics, data and digital insights background, perhaps within marketing, technology or competitor industry.\xc2\xa0 You\xe2\x80\x99ll need excellent general computer skills\r\n and experience with large business databases, ideally using packages like SQL server, SPSS, Oracle or Alteryx. If you\xe2\x80\x99ve had previous exposure to product management and marketing, that would be a huge plus!<br/>\n<br/>\n</p>\n<p>Key duties will include:</p>\n<ul>\n<li>Working across digital media and data projects such as segmentation, classification and profiling\r\n</li><li>Digital reporting (GA, GfK etc) translating key internal and external digital trends, to help the business shape their digital &amp; data strategy\r\n</li><li>Supporting commercial teams with the data &amp; insights to assist with business outcomes\r\n</li><li>Management of Salesforce CRM to ensure compliance </li><li>Manage pre and post-sales support engagement process to drive new and existing analytics business\r\n</li><li>Project management of complex analytical solutions </li></ul>\n<p>The best fit candidate for this business will be resourceful, with high attention to detail and a curious mind. You will be committed to working in a team environment, passionate about growing yourself professionally, with the absolute best communication\r\n and interpersonal skills. \xc2\xa0Your stakeholder management experience will need to be second to none, and your ability to turn numbers into actionable business outcomes will be your key strength. It is essential that you have Advanced MS Excel skills and a strong\r\n working knowledge of Google Analytics.<br/>\n<br/>\n</p>\n<p>If you believe you fill the brief, send your application through via the link below, marked attention to Dayna Stewart| Head of Digital &amp; Data Recruitment| Dayna@bigwavedigital.com.au | www.bigwavedigital.com.au \xc2\xa0all applications will be held in confidence.\xc2\xa0</p>\n</div>\n'",0,0,0,0.0,793
4,NA,b'Attractive remuneration',Sydney,IPA  ,Information & Communication Technology,"b'<span><strong>Surveyor - Telecommunications</strong></span><br/>\n<br/>\r\nOur client has an amazing opportunity for a Telecommunications &amp; Data Cabling Surveyor within their medium sized company based in Western Sydney. You would be joining a company who specializes in network, telephony &amp; security services within the Government\r\n &amp; Corporate spaces throughout Sydney metro areas.<br/>\n<br/>\r\nThe Role:<br/>\n<br/>\r\n* Completing site surveys for data cabling &amp; boxes<br/>\r\n* Preparation, Verification &amp; Validation of network designs<br/>\r\n* Provide technical support to operations <br/>\r\n* Oversee Subcontractors during surveying &amp; designing phases<br/>\r\n* Tender support, report preparation<br/>\r\n* Design &amp; deliver training both internally/externally<br/>\r\n* Prepare manuals, procedures &amp; instructions<br/>\n<br/>\r\nYou will need:<br/>\n<br/>\r\n* Relevant industry experience in Infrastructure &amp; Electro-technology deployment projects (CCTV, Security, Access Control, AV)<br/>\r\n* Current ACMA License or ACRS Masters Cabling Card<br/>\r\n* Experience with electrical &amp; telecommunications cabling practices<br/>\r\n* Ability to resolve issues both onsite and online/phone<br/>\r\n* MS Office Suite - Intermediate to Advanced<br/>\r\n* Exceptional verbal and written communication skills<br/>\n<br/>\r\nTo be considered for this role, applicants must be able to pass the following checks:<br/>\n<br/>\r\n- Working with Children<br/>\r\n- Police<br/>\r\n- Security &amp; Criminal Justice<br/>\n<br/>\r\nA manual drivers license with a clean driving record is essential for this role as there will be travel required.\r\n<br/>\n<br/>\r\nYou will be offered a permanent position with an excellent remuneration package, a supportive team culture and complete autonomy.<br/>\n<br/>\r\nIf you consider yourself highly motivated, trustworthy and truly enjoy working in this industry, you are encouraged to apply. To be successful, all applicants must meet the above criteria.<br/>\n<br/>\r\nTo apply, please hit the ""Apply"" button below and follow the prompts.<br/>\n<br/>\r\nSK929102A\r\n      '",0,0,0,0.0,793
5,NA,"b'$90,000 - $100,000 plus Super + Bonus'",Sydney,Finite IT Recruitment Solutions  ,Information & Communication Technology,"b'\n<p><font face=""Calibri"" size=""2"">Data Warehouse Developer\xc2\xa0\xe2\x80\x93 North Ryde<br/>\n</font></p>\n<p><font face=""Calibri"" size=""2"">About the Company<br/>\r\nI am looking for a strong Data Warehouse Developer to work on diverse projects and technologies for a large telecommunication company. You\xe2\x80\x99d be part of a growing agile team in North Ryde.<br/>\n</font></p>\n<p><font face=""Calibri"" size=""2"">Must have active Australian Defence Security Clearance - Baseline clearance is sufficient</font></p>\n<p><font face=""Calibri"" size=""2"">The job<br/>\r\nYou will work on the full range of product functionality, with a focus on performance optimisation. You will be working in small, motivated teams to deliver new features and functionality utilising the most up to date technologies.<br/>\r\n\xe2\x80\xa2<span style=""""> Data Warehouse\xc2\xa0development experience\xc2\xa0deliver a long term program of work.</span><br/>\r\n\xe2\x80\xa2\xc2\xa0Configuration and Customisation of 3rd party products<br/>\r\n\xe2\x80\xa2\xc2\xa0Support execution of System Integration Tests, Performance Test, and Capacity Tests according to pre-written specifications<br/>\r\n\xe2\x80\xa2\xc2\xa0Reporting results to the technical development leader/test team leader<br/>\r\n\xe2\x80\xa2\xc2\xa0Following up unexpected behaviours including characterizing issues and raising incident reports.<br/>\n</font></p>\n<p><font face=""Calibri"" size=""2"">Your skills <br/>\r\nAs a developer, your essential skills will include:<br/>\r\n\xe2\x80\xa2\xc2\xa0Strong experience is coding and development <br/>\r\no\xc2\xa0Java/J2EE Development<br/>\r\no\xc2\xa0Tomcat configuration and deployment<br/>\r\no\xc2\xa0XML/HTML/Xhtml<br/>\r\no\xc2\xa0Web Application Deployment<br/>\r\no\xc2\xa0Security Certificate deployment<br/>\r\no\xc2\xa0Trouble Shooting<br/>\r\no\xc2\xa0Application Administration on Windows/Unix/Linux<br/>\r\no\xc2\xa0Understanding of SQL and Databases.<br/>\r\no\xc2\xa0Understanding of HTTP protocol.<br/>\r\no\xc2\xa0Understanding and debugging of JavaScript/CSS.<br/>\r\no\xc2\xa0Good communication and analytical skills.</font></p>\n<p><font face=""Calibri"" size=""2"">\xe2\x80\xa2\xc2\xa0Strong understanding of Software Development Life Cycle (SDLC) methodology<br/>\r\n\xe2\x80\xa2\xc2\xa0Confident ability to use of Software Test and Development Tools (such as Rational Test Manager, HP Quality Centre, Rational Rose, Eclipse, Defect Tracking Tools, Configuration Management Tools)<br/>\r\n\xe2\x80\xa2\xc2\xa0Knowledge and/or experience across the following tools/system technologies will be highly regarded: IBM Netcool, IBM TNPM, IBM ITNM, IBM ITM, HP Service Management, enPortal, IBM NCM, WebSphere<br/>\r\n\xe2\x80\xa2\xc2\xa0OSS Development &amp; Integration background in any of the Assurance, Fulfilment, Configuration and Performance management domains.<br/>\r\n\xe2\x80\xa2\xc2\xa0Clearcase configuration management<br/>\r\n\xe2\x80\xa2\xc2\xa0Customer interfacing and communication skills<br/>\r\n\xe2\x80\xa2\xc2\xa0Experience in report writing, familiarity with MS Office suite including MS Project</font></p>\n<p><font face=""Calibri"" size=""2"">If you would like to find out more about this role please apply below with your most up to date resume in word format.\r\n</font></p>\n<p><font face=""Calibri"" size=""2"">Job Reference (S42)</font></p>\n<p><font face=""Calibri"" size=""2""></font>\xc2\xa0</p>\n'",90000100000,90000100000,95000,high,793
6,Data Steward - SAP / MDM      ,"b'$70,000 to $80,000 + super'",Sydney,Perigon Group Pty Limited  ,Information & Communication Technology,"b""Data Steward - SAP / MDM<br/>\n<br/>\r\nWe are looking for Data Steward with good exposure using MDM to join a well known technical company based in Ryde. This role will give you outstanding commercial and internal growth for your career.<br/>\n<br/>\n<strong>Role:</strong><br/>\n<br/>\n<ul>\n<li>Building positive working relationships across the business, in particular with data stewards and owners\r\n</li><li>Ensure established data management processes and procedures are being followed accurately and efficiently\r\n</li><li>Prepare data monitoring reports to identify data quality and completeness issues across the enterprise system landscape\r\n</li><li>Take ownership of data quality exceptions and ensure that these are resolved in line with cross functional and entity data requirements\r\n</li><li>Continuous improvement of processes and procedures, highlighting inefficiencies and recommending and implementing change\r\n</li><li>Active involvement in key projects, ensuring that enterprise data requirements can be met and supported\r\n</li></ul>\r\n\xc2\xa0<br/>\r\n\xc2\xa0<br/>\n<strong>\xc2\xa0Skills:</strong><br/>\n<ul>\n<li>Strong attention to detail </li><li>Proficiency in SQL essential </li><li>Ability to understand the interrelationship of data across systems and ability to extract and analyse data\r\n</li><li>MS Excel and Office </li><li>Strong communication skills are essential for interacting at all levels and across business disciplines\r\n</li><li>Willingness to learn and take ownership of completing tasks </li><li>Ability to solve problems and explain underlying issues to non-technical colleagues\r\n</li></ul>\r\n\xc2\xa0<strong>Experience</strong><br/>\r\n\xc2\xa0<br/>\n<ul>\n<li>A good understanding of operational process, tools and capabilities for supporting data\r\n</li><li>Any experience of master data management a plus </li><li>Service delivery oriented </li><li>Experience in data quality and process improvement </li><li>Experience of extracting data from multiple databases and understanding inter-relationships and mapping criteria\r\n</li><li>Experience of mapping complex data processes with accompanying documentation </li></ul>\n<strong>Education</strong><br/>\n<br/>\r\nDegree (or equivalent experience) ideally in a numerate or analytical subject<br/>\n<br/>\r\nIf you are interested please hit apply and I'll call you<br/>\n<br/>\r\nData Steward - SAP / MDM\r\n        """,7000080000,7000080000,75000,good,793
7,Data Engineer    ,0,Sydney,IAG  ,Information & Communication Technology,"b""\n<ul>\n<li>One of Australia's leading general insurers </li><li>Full-time or contract positions available </li><li>Career development opportunities </li></ul>\n<p>\xc2\xa0</p>\n<p><strong>About Us</strong></p>\n<p>IAG is the largest general insurance group in Australia and New Zealand, with a growing presence in Asia. IAG owns some of the region's most trusted brands, including NRMA Insurance, CGU, SGIO, SGIC, WFI and Swann Insurance.</p>\n<p>At IAG, we believe that everyone has a unique point of view to share, shaped by their life experiences, cultures &amp; passions. We celebrate and commit to:</p>\n<ul>\n<li>#Proud to be me \xe2\x80\x93 we value difference, not sameness </li><li>#Together \xe2\x80\x93 harnessing our collective wisdom enables us to bring our best for our customers &amp; each other\r\n</li><li>#No boxes \xe2\x80\x93 it's not about labels, boxes or categories, rather it's about building a diversity, inclusion &amp; belonging mindset into everything we do\r\n</li></ul>\n<p>In addition to a diverse and inclusive culture, some of our benefits include 13% superannuation, 50% insurance discounts, flexible work and leave options, generous parental leave and return to work program, recognition and reward program, and various corporate\r\n partner discounts.</p>\n<p>\xc2\xa0</p>\n<p><strong>The Role</strong></p>\n<p>The Data Engineer position reports in to our Data &amp; Product Engineering Director and is based in our Sydney CBD Head office.</p>\n<p>This role plays a critical role in ensuring that data pipelines are scalable, repeatable, and secure, and can serve 1000's of users.</p>\n<p>This role will include developing prototypes and proof of concepts for the selected solutions, and implementing complex data projects with a focus on collecting, parsing, managing, analysing and visualising large sets of data using multiple platforms. You\r\n will also have the capability to architect highly scalable distributed systems, using open source tools.</p>\n<p>The Data Engineer role is a technical job that requires substantial expertise in a broad range of software development and programming skills. The Data Engineer will have knowledge of data analysis, end user requirements analysis, and business requirements\r\n analysis to develop a clear understanding of the business needs and to incorporate these needs into technical solutions. In addition you will have a solid understanding of physical database design principles, and the software development life cycle.</p>\n<p>\xc2\xa0</p>\n<p><strong>Role Responsibilities</strong></p>\n<ul>\n<li>Selecting and integrating tools and frameworks required to provide requested capabilities, with a focus on open source\r\n</li><li>Implementing ELT process </li><li>Monitoring performance and advising any necessary infrastructure changes </li></ul>\n<p>\xc2\xa0</p>\n<p><strong>Keys skills and experience required</strong></p>\n<ul>\n<li>Proficient understanding of distributed computing principles </li><li>Extensive coding and programming in a range of languages such as Python, Scala, Java, R, etc.\r\n</li><li>Proficiency with open source data storage platforms such as Hadoop </li><li>Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming\r\n</li><li>Experience with NoSQL databases, such as Cassandra </li><li>Knowledge of various ELT techniques and frameworks, such as Flume </li><li>Experience with various messaging systems, such as Kafka </li><li>Good understanding of Lambda Architecture, along with its advantages and drawbacks\r\n</li></ul>\n<p>\xc2\xa0</p>\n<p><strong>How to Apply</strong></p>\n<p>To submit your interest in this role, please click the \xe2\x80\x98Apply' button below.</p>\n<p>\xc2\xa0</p>\n<p>\xc2\xa0</p>\n""",0,0,0,0.0,793
8,Data Scientist    ,0,Sydney,NRMA Motoring &amp; Services  ,Marketing & Communications,"b'\n<p>The NRMA was born to keep people moving, and we have been doing this for nearly 100 years. Our vision is to create indispensable connections with our Members\xe2\x80\x99 mobility through\r\n<strong>my car, my journey</strong> and <strong>my destination.</strong><br/>\n<br/>\r\nOur Members enjoy our legendary roadside assistance, car servicing and repairs, Thrifty car and truck rentals, the latest fuel prices and more via the\r\n<strong>mynrma app</strong>, discounted travel and accommodation at our Holiday parks, Travelodge and Hotel Kurrajong Canberra<br/>\n<br/>\n<strong>Your opportunity</strong><br/>\n<br/>\r\nData is an incredibly important area of growth for the NRMA. This year we have made a significant investment in our people and technology and have already had a fantastic response for the real-time Fuel and Parking features which we launched in the MyNRMA app\r\n late last year. But this is just the beginning.<br/>\n<br/>\r\nThe <strong>Data Scientist</strong> will have a stronger focus on expanding and enriching our member-customer data assets &amp; capability, through close collaboration with Technology and Product Management.<br/>\n<br/>\r\nHere is where you come in!<br/>\n</p>\n<ul>\n<li>Support the continuous expansion and enrichment of Data Assets and Capabilities</li><li>Perform predictive analytics and build models for customer engagement, retention, lifetime value</li><li>Grow data and business knowledge of Membership and Group Businesses</li><li>Ensure timely and accurate delivery of reports for designated stakeholder groups</li><li>Hands on analysis and visualization of complex web based data utilizing a variety of tools</li><li>Manage the campaign data design, build, delivery, and measurement of all Member and Customer communications</li></ul>\n<p><strong>Your experience</strong><br/>\n<br/>\r\nYou will have the customer experience at the heart of what you do and be able to demonstrate:<br/>\n</p>\n<ul>\n<li>Tertiary related qualification in computer science, statistics, marketing, or IT related discipline</li><li>Minimum 7 years\xe2\x80\x99 experience in an analyst role responsible for campaign, reporting, and analysis</li><li>Advanced SQL skills and experience dealing with large and complex data sets</li><li>Ability to adapt and navigate through complex systems</li><li>Strong analytical, business acumen, and problem solving skills</li><li>Possess a positive \xe2\x80\x9ccan-do\xe2\x80\x9d attitude couples with excellent communication skills</li><li>Experience in data warehousing, data modeling, propensity modeling and scoring, statistical inference and validation, segmentation, clustering, regression and response modeling</li></ul>\n<p><strong>Your benefits</strong><br/>\n<br/>\r\nWe offer a competitive remuneration and our benefits include 50% discount on insurance, free NRMA Premium Care Membership , product and travel discounts, 50% discount on Village Roadshow Theme Parks, plus many more!<br/>\n<br/>\r\nWe moved to a brand new office in Sydney Olympic Park. Here you will enjoy the convenience of free parking or being on the doorstep of the train station, plus the atmosphere of vibrant cafes and restaurants to appease your appetite.<br/>\n<br/>\r\nYour journey with us starts here, so get in the driver\xe2\x80\x99s seat and take control of your career. Apply now.<br/>\n</p>\n<div class=""videoembed"" id=""FlashContent""></div>\n'",0,0,0,0.0,793
9,Data Analyst    ,0,Sydney,NRMA Motoring &amp; Services  ,Marketing & Communications,"b'\n<p>The NRMA was born to keep people moving, and we have been doing this for nearly 100 years. Our vision is to create indispensable connections with our Members\xe2\x80\x99 mobility through\r\n<strong>my car, my journey</strong> and <strong>my destination.</strong><br/>\n<br/>\r\nOur Members enjoy our legendary roadside assistance, car servicing and repairs, Thrifty car and truck rentals, the latest fuel prices and more via the\r\n<strong>mynrma app</strong>, discounted travel and accommodation at our Holiday parks, Travelodge and Hotel Kurrajong Canberra<br/>\n<br/>\n<strong>Your opportunity</strong><br/>\n<br/>\r\nAre you analytical, highly driven and possess a \xe2\x80\x9ccan-do\xe2\x80\x9d attitude? Then this is the role you have been waiting for. The NRMA are seeking an experienced Data Analyst to work as a valued member of the data team. You will be responsible for delivering data solutions,\r\n data-driven campaign execution, reporting, and business insights to our stakeholders in the Sales &amp; Marketing division.<br/>\n<br/>\r\nOn a typical day, as our Data Analyst you should expect to:<br/>\n</p>\n<ul>\n<li>Manage the campaign data design, build, delivery, and measurement of all Member and Customer communication</li><li>Hands on analysis and visualization of complex web based data utilizing a variety of tools</li><li>Clearly communicate actionable insights to inform marketing, sales, and product strategies</li><li>Own the entire reporting lifecycle for Enterprise and Operational dashboards</li><li>Work closely with Technology and stakeholders in expanding and improving data assets and capabilities</li><li>Understand data opportunities at the NRMA and how to unlock opportunities</li><li>Manage stakeholder relationships and promote a data driven decision culture</li><li>Grow data and business knowledge of Membership and Group Businesses</li></ul>\n<p><strong>Your experience</strong><br/>\n<br/>\r\nYou will have the customer experience at the heart of what you do and be able to demonstrate<br/>\n</p>\n<ul>\n<li>A minimum of 7 years\xe2\x80\x99 experience in an analyst role responsible for campaign, reporting, and analysis</li><li>Advanced SQL skills and experience dealing with large and complex data sets</li><li>Possess a positive \xe2\x80\x9ccan-do\xe2\x80\x9d attitude coupled with excellent communication skills</li><li>Experience with reporting and visualization tools such as OBIEE, Google Analytics, Tableau</li><li>Advanced use of Microsoft Office Suite</li></ul>\n<p><strong>Your benefits</strong><br/>\n<br/>\r\nWe offer a competitive remuneration and our benefits include 50% discount on insurance, free NRMA Premium Care Membership , product and travel discounts, 50% discount on Village Roadshow Theme Parks, plus many more!<br/>\n<br/>\r\nWe have moved to a brand new office in Sydney Olympic Park. Here you will enjoy the convenience of free parking or being on the doorstep of the train station, plus the atmosphere of vibrant cafes and restaurants to appease your appetite.<br/>\n<br/>\r\nYour journey with us starts here, so get in the driver\xe2\x80\x99s seat and take control of your career. Apply now.<br/>\n</p>\n<div class=""videoembed"" id=""FlashContent""></div>\n'",0,0,0,0.0,793
